Region Id,Region Data,Region Name,Region Abbreviation
1,1002,Ampara,APR
2,2259,Anuradhapura,AD
3,2214,Badulla,BD
4,624,Batticaloa,BC
5,864,Colombo,CO
6,1209,Galle,GL
7,1670,Gampaha,GQ
8,1060,Hambantota,HB
9,804,Jaffna,JA
10,1115,Kalutara,KT
11,2027,Kandy,KY
12,1781,Kegalle,KE
13,804,Kilinochchi,KL
14,2576,Kurunegala,KG
15,540,Mannar,MB
16,865,Matale,MT
17,935,Matara,MH
18,1321,Moneragala,MJ
19,622,Mullaitivu,MP
20,1097,Nuwara Eliya,NW
21,882,Polonnaruwa,PR
22,1525,Puttalam,PX
23,2230,Ratnapura,RN
24,666,Trincomalee,TC
25,609,Vavuniya,VA
